#,Group,Question,Answer 1,Answer 2,Answer 3,Answer 4,Time limit,Correct answer(s)
19,Rung 3 · ML,The talk says most real-world 'AI projects' are actually…,Secretly humans in a call center,Just Excel wearing a hat,Machine learning — and that's good,Powered by pure vibes,20,3
20,Rung 4 · Transformer,The 2017 breakthrough behind modern LLMs is called…,The Perceptron,The Terminator,The Transformer,Optimus Prime,20,3
21,Rung 4 · Transformer,The key idea that made the Transformer work is…,"""Attention"" — weighing which words matter",Faster typing,Bigger hard drives,Drinking more coffee,20,1
22,Rung 4 · Transformer,"How old is the Transformer architecture, per the talk?","Nobody knows, it's a secret",Older than the wheel,About eight years,About fifty years,20,3
23,Rung 4 · Transformer,Do you need the maths to use the Transformer idea here?,"Yes, plus a blood sample",No — just one key fact,Only calculus II,"Yes, a PhD minimum",20,2
24,Tokens,"Before it 'thinks', an LLM chops the text into…",Whole sentences,Tiny letters it eats one by one,Paragraphs,Tokens,20,4
25,Tokens,What does the model actually 'see'?,Your browser history,"Full words, like we do","Token IDs, not words",Pictures of the words,20,3
26,Tokens,The tool used to explore tokens in the talk is…,Tiktokenizer,Microsoft Word,TikTok,A pair of scissors,20,1
27,Pre-training,Pre-training teaches a model to do one thing:,Win at chess,Obey Asimov's laws,Always tell the truth,Predict the next token,20,4
28,Pre-training,A nickname for the pre-trained base model in the talk is…,The 'calculator',The 'internet simulator',The 'digital goldfish',The 'robot lawyer',20,2
29,Pre-training,"Ask a raw base model ""What is 2+2?"" and it will likely…",Refuse on ethical grounds,Call you on the phone,Answer 4 perfectly every time,"Ramble like a web page, not just say 4",20,4
30,Pre-training,A base model is best described as…,A conscious brain,A search engine,Autocomplete on steroids,A very smart toaster,20,3
31,Post-training,Post-training turns the base model into…,A search engine,A stand-up comedian,A helpful assistant,A new programming language,20,3
32,Post-training,During post-training the model mainly learns…,To behave helpfully (not new facts),Interpretive dance,To do your taxes,All of Wikipedia by heart,20,1
33,Post-training,"After post-training, the 'internet simulator'…",Forgets how to read,"Stops rambling, acts like an assistant",Becomes self-aware,Demands a salary,20,2
34,RLHF & Judge,RLHF stands for…,"Random Logic, Hopefully Fine",Reinforcement Learning from Human Feedback,Robots Liberating Humanity Forever,Really Large Hadron Fusion,20,2
35,RLHF & Judge,"In RLHF, humans mainly…",Rank answers good vs bad,Reboot the servers,Write every answer by hand,Feed the otter,20,1
36,RLHF & Judge,RLAIF scales the feedback loop by…,Hiring many more humans,Removing all feedback,Letting a model judge other models' answers,Asking your mom,20,3
37,RLHF & Judge,The 'machine as judge' trick matters because it…,Judges wear cooler robes,Scales beyond what humans could label,Removes the need for any standard,Makes the model conscious,20,2
38,RLHF & Judge,"The whole LLM arc, per the talk, is…",otter → plane → wifi → art,basically magic,tokens → internet sim → assistant → specialist,a true digital brain waking up,20,3
39,When to use LLM,"According to the talk, you should reach for the LLM…",Rarely — only where nothing else works,"Never, under any circumstance",Whenever you're bored,For every single task,20,1
40,When to use LLM,"Need a deterministic, auditable answer? Use…",A lower rung,Three LLMs voting,The biggest LLM you can find,A Ouija board,20,1
41,When to use LLM,The LLM is best used as…,A replacement for thinking,A sledgehammer for everything,A very expensive paperweight,A scalpel for the messy 5%,20,4
42,When to use LLM,The talk describes the LLM as a generalist that is…,"Brilliant, expensive, sometimes hallucinating",Slow but perfectly honest,Cheap and always correct,Just a guy named Greg,20,1
43,Demo Pipeline,"In the demo pipeline, the LLM's job is…",The last 5% — judge for false positives,Extracting text from the PDFs,"The whole pipeline, start to finish",Making the coffee,20,1
44,Demo Pipeline,The demo's first step (rung 1) is…,Print it and shred it,Email the customer,Call the LLM immediately,PDF → text (extract & clean),20,4
45,Demo Pipeline,The rules-engine step is valued because it's…,Deterministic and auditable,Run by interns,Secretly powered by an LLM,Creative and unpredictable,20,1
46,Demo Pipeline,The whole point of the demo is to show…,That automation is useless,How to lose money fast,That LLMs should do everything,Which rung does the heavy lifting,20,4
47,Fun & Culture,The talk opens with an AI image benchmark of…,A cat playing piano,An otter on a plane using the wifi,A pigeon doing its taxes,A dog on a skateboard,20,2
48,Fun & Culture,Who ran the same otter prompt year after year?,Ethan Mollick,Sam Altman,Alan Turing,The otter itself,20,1
49,Fun & Culture,The closing quote (Maciejewska) wishes AI would do…,The taxes and the cooking,"The laundry and dishes, not the art","The art and writing, not the chores",The karaoke,20,2
50,Fun & Culture,The session's intended vibe is…,A wrestling match,A silent exam,"A team meeting, not a lecture",A sales pitch,20,3
